,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
267,281,Zaza Pachulia,C,32,18.1,2.3,4.4,0.534,0.0,0.0,0.0,2.3,4.4,0.5379999999999999,0.534,1.4,1.8,0.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,6.1,GS,70,18.1,-0.31,3.23,2.92,5.12,10.0,102.91,58
268,283,Derrick Williams,PF,25,16.1,2.2,4.9,0.44299999999999995,0.6,1.9,0.309,1.6,2.9,0.531,0.504,1.2,1.8,0.652,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1,CLE/MIA,50,16.1,-2.66,-1.25,-3.91,-0.4,7.4,96.49,16
269,284,Alex Abrines,SG,23,15.5,2.0,5.0,0.39299999999999996,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,OKC,68,15.5,0.13,-2.25,-2.12,0.69,5.2,101.04,37
270,285,Bismack Biyombo,C,24,22.1,2.2,4.2,0.528,0.0,0.0,,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,ORL,81,22.1,-3.33,0.77,-2.56,0.63,8.7,96.83,29
271,287,David Nwaba,SG,24,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,2.0,0.6409999999999999,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6.0,LAL,20,19.9,-1.89,0.59,-1.3,0.47,7.6,100.9,5
272,288,Lance Thomas,PF,28,21.0,2.1,5.3,0.39799999999999996,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6.0,NY,46,21.0,-2.87,-1.73,-4.6,-0.91,5.5,98.29,15
273,289,Jerian Grant,PG,24,16.3,2.0,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,0.507,1.0,1.2,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,CHI,63,16.3,0.5,1.07,1.57,3.03,8.4,97.0,29
274,290,Andrew Harrison,PG,22,20.5,1.6,5.0,0.325,0.6,2.2,0.276,1.0,2.8,0.363,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,MEM,72,20.5,-1.2,-0.38,-1.58,1.38,5.3,94.76,38
275,291,Domantas Sabonis,PF,20,20.1,2.4,5.9,0.39899999999999997,0.6,2.0,0.321,1.7,4.0,0.43799999999999994,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9,OKC,81,20.1,-3.9,1.86,-2.04,1.14,4.9,99.61,46
276,292,Quincy Acy,PF,26,14.7,1.8,4.5,0.41200000000000003,1.0,2.4,0.41100000000000003,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,DAL/BKN,38,14.7,-2.38,-0.21,-2.59,0.01,8.3,101.09,11
277,293,Beno Udrih,PG,34,14.4,2.4,5.1,0.467,0.3,0.8,0.344,2.1,4.2,0.491,0.495,0.8,0.9,0.941,0.2,1.3,1.5,3.4,0.3,0.0,0.9,0.7,5.8,DET,39,14.4,-0.39,0.13,-0.26,0.98,13.0,95.46,18
278,294,Tarik Black,C,25,16.3,2.2,4.4,0.51,0.0,0.0,0.5,2.2,4.4,0.51,0.512,1.2,1.6,0.752,2.1,3.0,5.1,0.6,0.4,0.7,0.9,2.6,5.7,LAL,67,16.3,-2.5,1.96,-0.54,1.81,8.5,100.72,24
279,295,Richard Jefferson,SF,36,20.4,1.9,4.3,0.446,0.8,2.4,0.33299999999999996,1.2,2.0,0.58,0.536,1.0,1.4,0.741,0.4,2.2,2.6,1.0,0.3,0.1,0.7,1.9,5.7,CLE,79,20.4,-1.16,-0.48,-1.64,1.51,5.3,98.11,50
280,296,Jason Smith,C,30,14.4,2.4,4.4,0.529,0.5,1.1,0.474,1.9,3.4,0.546,0.585,0.5,0.7,0.6859999999999999,0.9,2.6,3.5,0.5,0.3,0.7,0.8,2.3,5.7,WSH,74,14.4,-1.08,0.54,-0.54,1.75,8.7,98.72,45
281,298,Brandon Bass,PF,31,11.1,2.1,3.6,0.575,0.0,0.1,0.33299999999999996,2.0,3.5,0.579,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6,LAC,52,11.1,-1.06,-1.59,-2.65,0.17,12.2,96.53,29
282,299,Quinn Cook,PG,23,13.4,2.4,4.7,0.5,0.8,1.9,0.423,1.6,2.9,0.55,0.583,0.1,0.4,0.4,0.1,0.4,0.5,1.9,0.3,0.0,0.9,0.9,5.6,NO/DAL,14,13.4,-1.44,-1.38,-2.82,0.01,6.8,96.78,9
283,300,Gerald Green,SF,31,11.4,2.0,4.9,0.409,0.8,2.4,0.35100000000000003,1.2,2.6,0.46299999999999997,0.494,0.7,0.9,0.805,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1.0,5.6,BOS,47,11.4,-1.27,-1.47,-2.74,0.13,8.1,98.76,32
284,301,Ian Mahinmi,C,30,17.9,2.1,3.6,0.586,0.0,0.0,,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,WSH,31,17.9,-2.22,3.11,0.89,1.44,8.2,98.9,19
285,302,Georgios Papagiannis,C,19,16.1,2.5,4.6,0.5489999999999999,0.0,0.1,0.0,2.5,4.5,0.56,0.5489999999999999,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,5.6,SAC,22,16.1,-2.47,-0.3,-2.77,0.08,8.2,96.93,7
286,303,Delon Wright,PG,24,16.5,1.8,4.3,0.42200000000000004,0.4,1.1,0.33299999999999996,1.4,3.2,0.45299999999999996,0.466,1.6,2.0,0.764,0.6,1.2,1.8,2.1,1.0,0.4,0.9,1.1,5.6,TOR,27,16.5,-1.28,0.98,-0.3,0.77,10.5,94.48,19
287,304,Jerami Grant,SF,22,19.1,1.9,4.1,0.46299999999999997,0.5,1.5,0.371,1.4,2.7,0.514,0.529,1.1,1.8,0.612,0.5,2.1,2.6,0.6,0.4,1.0,0.6,1.9,5.5,PHI/OKC,80,19.1,-2.42,-2.29,-4.71,-1.56,5.8,100.42,43
288,305,Boban Marjanovic,C,28,8.4,2.1,3.8,0.545,0.0,0.0,,2.1,3.8,0.545,0.545,1.3,1.7,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,DET,35,8.4,-0.24,1.66,1.42,0.82,19.6,97.2,16
289,306,Anthony Morrow,SG,31,14.6,2.0,5.1,0.389,0.8,2.7,0.308,1.2,2.4,0.479,0.47,0.7,0.8,0.919,0.2,0.4,0.6,0.5,0.5,0.0,0.1,0.9,5.5,CHI/OKC,49,14.6,-0.66,-1.46,-2.12,0.46,5.5,99.75,25
290,307,Terry Rozier,PG,22,17.1,2.0,5.6,0.36700000000000005,0.8,2.4,0.318,1.3,3.1,0.405,0.43700000000000006,0.7,0.9,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,BOS,74,17.1,-1.05,-0.01,-1.06,1.65,9.1,98.27,47
291,308,Paul Zipser,SF,22,19.2,2.0,5.0,0.39799999999999996,0.8,2.3,0.33299999999999996,1.3,2.8,0.451,0.473,0.7,0.9,0.775,0.3,2.5,2.8,0.8,0.3,0.4,0.9,1.8,5.5,CHI,44,19.2,-3.37,-0.19,-3.56,-0.23,5.0,97.93,21
292,309,Malcolm Delaney,PG,27,17.1,2.0,5.3,0.374,0.4,1.5,0.23600000000000002,1.6,3.8,0.428,0.40700000000000003,1.0,1.3,0.8059999999999999,0.1,1.5,1.7,2.6,0.5,0.0,1.3,1.5,5.4,ATL,73,17.1,-2.64,-0.25,-2.89,0.18,6.4,98.7,37
293,310,Joffrey Lauvergne,PF-C,25,14.0,2.1,4.8,0.44,0.5,1.4,0.337,1.6,3.4,0.483,0.49,0.7,1.0,0.63,1.0,2.6,3.6,1.0,0.4,0.1,0.8,1.2,5.4,CHI/OKC,70,14.0,-1.22,-1.27,-2.49,0.39,9.4,98.86,41
294,311,Meyers Leonard,PF,24,16.5,2.0,5.1,0.386,1.0,2.9,0.34700000000000003,1.0,2.2,0.436,0.484,0.5,0.5,0.875,0.4,2.8,3.2,1.0,0.2,0.4,0.5,2.3,5.4,POR,74,16.5,-1.5,0.26,-1.24,1.48,6.1,99.44,37
295,312,Alexis Ajinca,C,28,15.0,2.3,4.6,0.5,0.0,0.1,0.0,2.3,4.5,0.511,0.5,0.7,1.0,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,NO,39,15.0,-3.17,1.64,-1.53,0.6,8.8,100.43,15
296,314,Chasson Randle,PG,23,11.5,1.5,3.8,0.408,0.6,1.8,0.34,0.9,2.0,0.47100000000000003,0.49,1.6,1.7,0.953,0.2,1.0,1.2,1.3,0.3,0.1,0.7,1.5,5.3,NY/PHI,26,11.5,-0.74,-1.36,-2.1,0.2,8.4,98.49,8
297,315,Willie Reed,C,26,14.5,2.3,4.0,0.568,0.0,0.1,0.25,2.3,4.0,0.573,0.57,0.7,1.2,0.557,1.8,2.9,4.7,0.4,0.3,0.7,0.4,1.9,5.3,MIA,71,14.5,-2.42,1.25,-1.17,1.28,10.8,98.26,39
298,316,Omri Casspi,SF,28,17.9,2.1,4.6,0.47,0.4,1.2,0.349,1.7,3.4,0.512,0.515,0.5,0.8,0.586,0.8,2.4,3.1,1.0,0.6,0.1,0.8,1.4,5.2,NO/MIN/SAC,36,17.9,-2.35,0.05,-2.3,0.22,6.9,98.23,12
299,317,Mike Dunleavy,SF,36,15.9,1.8,4.2,0.423,1.0,2.5,0.396,0.8,1.6,0.465,0.5429999999999999,0.7,0.8,0.8,0.3,1.8,2.2,0.9,0.3,0.1,0.5,1.3,5.2,ATL/CLE,53,15.9,-2.26,0.05,-2.21,0.49,7.7,98.53,34
300,318,Randy Foye,SG,33,18.6,1.7,4.7,0.363,1.0,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,5.2,BKN,69,18.6,-2.7,-1.42,-4.12,-0.85,5.7,103.71,17
301,319,Cameron Payne,PG,22,14.9,2.1,6.2,0.332,0.9,2.8,0.314,1.2,3.5,0.34600000000000003,0.402,0.2,0.3,0.625,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2,CHI/OKC,31,14.9,-4.14,-0.31,-4.45,-0.39,4.1,98.86,16
302,320,Dewayne Dedmon,C,27,17.5,2.1,3.4,0.622,0.0,0.0,,2.1,3.4,0.622,0.622,0.9,1.2,0.6990000000000001,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,SA,76,17.5,-1.63,3.94,2.31,4.49,12.4,95.97,55
303,321,Cheick Diallo,PF,20,11.7,2.1,4.5,0.474,0.0,0.0,,2.1,4.5,0.474,0.474,0.9,1.2,0.7140000000000001,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1.0,5.1,NO,17,11.7,-2.54,-0.85,-3.39,-0.03,11.3,101.07,9
304,322,Shaun Livingston,PG,31,17.7,2.3,4.2,0.547,0.0,0.0,0.33299999999999996,2.3,4.1,0.55,0.5489999999999999,0.6,0.8,0.7,0.4,1.6,2.0,1.8,0.5,0.3,0.8,1.6,5.1,GS,76,17.7,-2.55,-0.19,-2.74,0.33,7.3,98.4,63
305,323,Luis Scola,PF,36,12.8,2.0,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.526,0.7,1.0,0.6759999999999999,1.4,2.4,3.9,1.0,0.4,0.1,0.9,1.8,5.1,BKN,36,12.8,-0.8,-0.29,-1.09,0.62,8.9,102.58,7
306,324,Wayne Selden,SG,22,16.9,1.8,4.1,0.431,0.5,2.0,0.25,1.3,2.1,0.6,0.491,1.0,1.6,0.636,0.1,1.1,1.1,0.9,0.4,0.1,0.9,1.3,5.1,NO/MEM,14,16.9,-2.44,-0.28,-2.72,0.06,4.4,94.78,6
307,325,Hollis Thompson,SG,25,18.8,1.9,5.0,0.385,0.8,2.4,0.337,1.1,2.6,0.429,0.465,0.5,0.7,0.655,0.5,2.3,2.8,0.9,0.5,0.2,0.3,1.7,5.1,NO/PHI,40,18.8,-0.82,-1.23,-2.05,0.38,5.8,98.46,12
308,326,Denzel Valentine,SG,23,17.1,1.8,5.1,0.354,1.3,3.6,0.35100000000000003,0.5,1.4,0.363,0.48100000000000004,0.2,0.3,0.778,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,CHI,57,17.1,-2.21,0.13,-2.08,0.64,5.8,97.94,28
309,327,Anthony Bennett,PF,23,11.5,1.7,4.0,0.413,0.6,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0,BKN,23,11.5,-0.76,-1.29,-2.05,0.19,9.4,104.03,3
310,328,Aaron Brooks,PG,32,13.8,1.9,4.6,0.40299999999999997,0.7,2.0,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1.0,1.4,5.0,IND,65,13.8,-1.81,-1.47,-3.28,-0.09,6.2,96.55,36
311,329,Trey Burke,PG,24,12.3,2.0,4.5,0.455,0.5,1.2,0.44299999999999995,1.5,3.2,0.45899999999999996,0.516,0.4,0.5,0.759,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5.0,WSH,57,12.3,-2.15,-3.09,-5.24,-0.92,8.1,96.37,35
312,330,Joakim Noah,C,31,22.1,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,0.493,0.49,0.7,1.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0,NY,46,22.1,-2.23,1.17,-1.06,1.32,9.4,98.45,17
313,331,Thomas Robinson,PF,25,11.7,2.2,4.1,0.536,0.0,0.0,0.0,2.2,4.1,0.5379999999999999,0.536,0.6,1.4,0.47,1.8,2.9,4.6,0.6,0.5,0.2,1.0,1.6,5.0,LAL,48,11.7,-1.68,-0.66,-2.34,0.28,11.4,99.31,15
314,332,Aron Baynes,C,30,15.5,1.9,3.7,0.513,0.0,0.0,,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,4.9,DET,75,15.5,-2.45,2.93,0.48,2.63,8.5,97.23,34
315,334,Juan Hernangomez,PF,21,13.6,1.6,3.6,0.451,0.7,1.8,0.40700000000000003,0.9,1.8,0.495,0.5539999999999999,0.9,1.2,0.75,0.7,2.3,3.0,0.5,0.5,0.2,0.5,1.0,4.9,DEN,62,13.6,-0.85,-0.69,-1.54,0.88,8.6,101.04,30
316,335,Mario Hezonja,SF,21,14.8,1.8,5.1,0.355,0.7,2.2,0.299,1.1,2.9,0.39799999999999996,0.42,0.6,0.8,0.8,0.3,1.9,2.2,1.0,0.5,0.2,0.9,1.1,4.9,ORL,65,14.8,-4.4,-2.2,-6.6,-2.09,5.9,97.48,20
317,336,Josh McRoberts,PF,29,17.3,2.0,5.4,0.373,0.6,1.4,0.419,1.4,4.0,0.35600000000000004,0.428,0.3,0.4,0.667,1.0,2.3,3.4,2.3,0.5,0.2,1.0,1.4,4.9,MIA,22,17.3,-2.87,-0.01,-2.88,0.06,7.1,93.81,6
318,337,Tiago Splitter,C,32,9.5,1.8,3.9,0.452,0.3,0.8,0.33299999999999996,1.5,3.1,0.48,0.484,1.1,1.4,0.818,1.0,1.8,2.8,0.5,0.1,0.1,0.8,1.0,4.9,PHI,8,9.5,-1.97,0.69,-1.28,0.09,10.6,99.11,1
319,338,Luke Babbitt,SF,27,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1.0,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8,MIA,68,15.7,-0.64,1.24,0.6,2.5,5.4,97.22,35
320,339,Jarell Eddie,SF,25,12.4,1.2,3.8,0.316,0.8,3.2,0.25,0.4,0.6,0.667,0.42100000000000004,1.6,1.8,0.889,0.2,1.2,1.4,0.0,0.2,0.0,0.2,0.2,4.8,PHX,5,12.4,-2.31,0.62,-1.69,0.06,8.2,109.87,0
321,340,Cristiano Felicio,C,24,15.8,1.9,3.3,0.579,0.0,0.0,,1.9,3.3,0.579,0.579,0.9,1.4,0.645,1.9,2.8,4.7,0.6,0.4,0.3,0.5,1.7,4.8,CHI,66,15.8,-1.55,0.39,-1.16,1.28,10.0,97.27,31
322,341,Kevin Seraphin,PF,27,11.4,2.2,4.0,0.551,0.0,0.0,0.0,2.2,4.0,0.556,0.551,0.3,0.4,0.636,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,4.7,IND,49,11.4,-2.94,-1.07,-4.01,-0.31,9.5,96.87,23
323,342,Isaiah Canaan,SG,25,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1.0,2.0,0.48100000000000004,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6,CHI,39,15.2,-3.0,-1.12,-4.12,-0.37,5.6,96.46,19
324,343,Boris Diaw,PF,34,17.6,2.0,4.5,0.446,0.3,1.1,0.247,1.7,3.4,0.512,0.47700000000000004,0.4,0.5,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,UTAH,73,17.6,-2.58,-0.5,-3.08,0.03,7.1,93.08,45
325,344,Roy Hibbert,C,30,14.2,1.7,3.1,0.544,0.0,0.0,,1.7,3.1,0.544,0.544,1.3,1.6,0.813,1.1,2.0,3.2,0.4,0.2,1.0,0.7,2.1,4.6,DEN/CHA,48,14.2,-2.48,2.08,-0.4,1.21,7.1,98.94,24
326,345,Kris Humphries,PF,31,12.3,1.6,3.8,0.40700000000000003,0.3,1.0,0.35200000000000004,1.2,2.9,0.425,0.451,1.1,1.5,0.78,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,4.6,ATL,56,12.3,-2.3,0.41,-1.89,0.54,10.5,98.12,31
327,346,David West,C,36,12.6,2.0,3.7,0.536,0.0,0.1,0.375,1.9,3.6,0.541,0.542,0.6,0.8,0.768,0.7,2.3,3.0,2.2,0.6,0.7,1.1,1.5,4.6,GS,68,12.6,-1.47,3.54,2.07,2.81,12.3,96.84,56
328,347,Davis Bertans,PF,24,12.1,1.5,3.5,0.44,1.0,2.6,0.39899999999999997,0.5,0.9,0.557,0.588,0.4,0.5,0.8240000000000001,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5,SA,67,12.1,0.07,-0.01,0.06,1.64,7.7,97.88,51
329,348,Corey Brewer,SF,30,15.6,1.8,4.2,0.42200000000000004,0.3,1.4,0.22899999999999998,1.5,2.8,0.522,0.461,0.6,0.8,0.735,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.6,4.5,HOU/LAL,82,15.6,-1.75,1.0,-0.75,1.99,5.7,101.21,47
330,349,Reggie Bullock,SF,25,15.1,1.7,4.1,0.42200000000000004,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.7140000000000001,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,DET,31,15.1,-0.98,0.57,-0.41,0.79,8.1,98.05,13
331,350,C.J. Watson,PG,32,16.3,1.5,4.0,0.387,0.5,1.7,0.305,1.0,2.3,0.44799999999999995,0.452,0.9,1.1,0.8640000000000001,0.3,1.2,1.4,1.8,0.7,0.0,0.8,1.4,4.5,ORL,62,16.3,-2.41,-0.64,-3.05,0.05,6.3,98.51,20
332,352,Pierre Jackson,PG,25,10.5,1.6,4.9,0.33299999999999996,0.4,1.4,0.273,1.3,3.5,0.35700000000000004,0.37200000000000005,0.8,0.9,0.857,0.1,1.0,1.1,2.4,0.3,0.0,0.4,0.6,4.4,DAL,8,10.5,-0.96,-0.76,-1.72,0.02,10.4,97.72,4
333,353,Stanley Johnson,SF,20,17.8,1.7,4.7,0.353,0.6,2.0,0.292,1.1,2.7,0.39799999999999996,0.415,0.5,0.7,0.679,0.5,2.0,2.5,1.4,0.7,0.3,0.9,1.6,4.4,DET,77,17.8,-2.34,-0.04,-2.38,0.63,4.8,96.99,35
334,354,Jordan McRae,SG,25,10.4,1.6,4.1,0.387,0.5,1.4,0.353,1.1,2.7,0.40399999999999997,0.447,0.7,0.9,0.794,0.2,0.9,1.1,0.5,0.2,0.2,0.4,0.8,4.4,CLE,37,10.4,-2.19,-1.87,-4.06,-0.23,5.9,97.04,26
335,355,Donatas Motiejunas,PF,26,14.1,1.7,4.1,0.413,0.3,1.4,0.23399999999999999,1.4,2.7,0.505,0.45299999999999996,0.7,1.4,0.51,0.8,2.2,3.0,0.9,0.5,0.3,0.9,1.6,4.4,NO,34,14.1,-2.51,-0.74,-3.25,-0.04,5.3,101.18,16
336,356,Lucas Nogueira,C,24,19.1,1.8,2.7,0.66,0.1,0.2,0.25,1.8,2.5,0.6940000000000001,0.67,0.8,1.2,0.657,1.4,2.8,4.3,0.7,0.9,1.6,0.8,2.4,4.4,TOR,57,19.1,-0.61,3.34,2.73,4.03,8.5,97.57,34
337,357,Jarrod Uthoff,PF,23,12.8,1.8,4.2,0.42100000000000004,0.3,1.0,0.33299999999999996,1.4,3.2,0.44799999999999995,0.461,0.6,0.8,0.7140000000000001,0.9,1.6,2.4,1.0,0.2,0.4,0.3,0.9,4.4,DAL,9,12.8,-2.29,-0.76,-3.05,0.01,8.1,94.3,2
338,358,Noah Vonleh,PF,21,17.1,1.8,3.6,0.48100000000000004,0.1,0.3,0.35,1.7,3.4,0.49200000000000005,0.494,0.8,1.3,0.638,1.8,3.5,5.2,0.4,0.4,0.4,0.9,2.1,4.4,POR,74,17.1,-4.02,1.03,-2.99,0.11,7.3,98.18,38
339,359,Ed Davis,PF,27,17.2,1.6,3.1,0.528,0.0,0.0,,1.6,3.1,0.528,0.528,1.1,1.8,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3,POR,46,17.2,-2.96,-0.06,-3.02,0.05,6.1,98.77,19
340,360,Tyler Ennis,PG,22,11.1,1.7,3.9,0.433,0.5,1.3,0.386,1.2,2.6,0.457,0.498,0.4,0.5,0.84,0.2,0.7,0.8,1.6,0.5,0.0,0.8,1.1,4.3,HOU/LAL,53,11.1,-1.36,-0.51,-1.87,0.49,7.0,100.23,28
341,361,Dorian Finney-Smith,PF,23,20.3,1.5,4.1,0.37200000000000005,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3,DAL,81,20.3,-1.92,-0.3,-2.22,0.9,4.9,93.28,33
342,363,Brandon Rush,SG,31,21.9,1.5,4.0,0.374,0.9,2.4,0.386,0.6,1.6,0.35600000000000004,0.49200000000000005,0.3,0.4,0.722,0.3,1.8,2.1,1.0,0.5,0.5,0.6,0.9,4.2,MIN,47,21.9,-3.13,-0.73,-3.86,-0.48,4.3,96.76,15
343,364,Pascal Siakam,PF,22,15.6,1.9,3.7,0.502,0.0,0.1,0.14300000000000002,1.9,3.6,0.515,0.505,0.4,0.6,0.688,1.2,2.2,3.4,0.3,0.5,0.8,0.6,2.0,4.2,TOR,55,15.6,-3.93,0.49,-3.44,-0.17,6.0,96.94,35
344,365,Ron Baker,SG,23,16.5,1.6,4.2,0.37799999999999995,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.6509999999999999,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,NY,52,16.5,-2.68,-0.56,-3.24,-0.06,5.7,96.85,14
345,366,Shabazz Napier,PG,25,9.7,1.4,3.5,0.39899999999999997,0.6,1.7,0.37,0.7,1.7,0.429,0.49200000000000005,0.7,0.9,0.7759999999999999,0.2,1.0,1.2,1.3,0.6,0.0,0.8,0.7,4.1,POR,53,9.7,-0.12,-1.39,-1.51,0.51,9.4,95.63,26
346,367,Jason Terry,SG,39,18.4,1.4,3.3,0.43200000000000005,1.0,2.3,0.42700000000000005,0.4,1.0,0.444,0.5820000000000001,0.3,0.4,0.828,0.2,1.2,1.4,1.3,0.6,0.3,0.5,1.3,4.1,MIL,74,18.4,-0.41,0.61,0.2,2.81,5.8,95.82,37
347,368,Kay Felder,PG,21,9.2,1.5,3.8,0.392,0.2,0.5,0.318,1.3,3.2,0.40399999999999997,0.415,0.8,1.2,0.7140000000000001,0.1,0.9,1.0,1.4,0.4,0.2,0.7,0.9,4.0,CLE,42,9.2,-3.39,-0.85,-4.24,-0.28,7.9,97.79,25
348,370,Thon Maker,C,19,9.9,1.5,3.2,0.45899999999999996,0.5,1.3,0.37799999999999995,1.0,1.9,0.514,0.536,0.6,0.9,0.653,0.7,1.3,2.0,0.4,0.2,0.5,0.3,1.5,4.0,MIL,57,9.9,-1.23,0.17,-1.06,0.7,7.2,94.0,31
349,371,Patrick McCaw,SG,21,15.1,1.5,3.5,0.433,0.6,1.7,0.33299999999999996,0.9,1.7,0.5329999999999999,0.516,0.4,0.5,0.784,0.3,1.1,1.4,1.1,0.5,0.2,0.5,0.9,4.0,GS,71,15.1,-3.09,-1.57,-4.66,-1.1,5.6,102.03,57
350,373,Anthony Brown,SF,24,14.5,1.6,4.5,0.36,0.6,2.5,0.259,1.0,2.1,0.478,0.43,0.0,0.0,,0.7,2.3,3.0,0.7,0.5,0.1,0.5,1.4,3.9,NO/ORL,11,14.5,-1.42,-0.34,-1.76,0.08,5.8,94.67,3
351,374,Jarell Martin,PF,22,13.3,1.4,3.6,0.384,0.2,0.6,0.36,1.2,3.0,0.389,0.414,1.0,1.2,0.8,1.0,2.9,3.9,0.2,0.4,0.2,0.7,2.2,3.9,MEM,42,13.3,-4.23,1.17,-3.06,0.02,6.9,97.39,23
352,375,Malik Beasley,SG,20,7.5,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2.0,0.5329999999999999,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0.0,0.4,0.5,3.8,DEN,22,7.5,-1.74,0.21,-1.53,0.18,8.6,103.72,12
353,376,Kris Dunn,PG,22,17.1,1.5,4.0,0.377,0.3,0.9,0.28800000000000003,1.2,3.1,0.40399999999999997,0.41100000000000003,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8,MIN,78,17.1,-2.64,-0.41,-3.05,0.06,5.1,96.78,30
354,377,Jonas Jerebko,PF,29,15.8,1.5,3.4,0.435,0.6,1.7,0.34600000000000003,0.9,1.7,0.523,0.521,0.3,0.5,0.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,3.8,BOS,78,15.8,-0.89,-0.14,-1.03,1.63,6.9,98.94,51
355,378,Malachi Richardson,SG,21,9.0,1.3,3.1,0.41200000000000003,0.4,1.3,0.28600000000000003,0.9,1.8,0.5,0.47100000000000003,0.7,0.9,0.789,0.1,0.9,1.0,0.5,0.2,0.0,0.4,1.0,3.6,SAC,22,9.0,-2.29,-0.14,-2.43,0.09,5.7,96.63,9
356,379,Tyus Jones,PG,20,12.9,1.3,3.0,0.414,0.4,1.2,0.35600000000000004,0.8,1.8,0.45399999999999996,0.486,0.6,0.7,0.767,0.2,1.0,1.1,2.6,0.8,0.1,0.6,0.8,3.5,MIN,60,12.9,0.11,-0.34,-0.23,1.4,9.6,97.51,23
